                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2012,                 3.3297,                 1.9166,                0.00626,                0.26667,                  0.095,                0.03537,                 2.3123,                 3.4264,                 1.9731,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.0914,                 3.2902,                 1.8401,                 0.0063,                0.26667,                0.06441,                0.03368,                 2.2889,                 3.4317,                 1.8576,             2.8723e-05,             2.8723e-05,             2.8723e-05
                      3,                 1.9522,                 3.2632,                 1.8138,                0.00819,                    0.6,                0.06052,                0.03434,                 2.0049,                 3.4016,                 1.6807,             2.4293e-05,             2.4293e-05,             2.4293e-05
