                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99644,                 1.2485,                 1.1296,                0.88523,                    0.6,                0.79939,                0.61709,                 1.1241,                 1.7579,                 1.2657,             0.00064464,             0.00064464,             0.00064464
                     35,                 1.0426,                 1.0951,                 1.1126,                0.77904,                0.66667,                0.79572,                0.64932,                 1.0932,                 1.6498,                 1.1726,             0.00065412,             0.00065412,             0.00065412
                     36,                  1.026,                 1.1174,                 1.1186,                 0.8087,                 0.5828,                0.80056,                0.53834,                 1.2306,                 1.8944,                 1.2219,             0.00066303,             0.00066303,             0.00066303
                     37,                0.95836,                 1.1412,                 1.1115,                 0.8087,                 0.5828,                0.80056,                0.53834,                 1.2306,                 1.8944,                 1.2219,             0.00067138,             0.00067138,             0.00067138
                     38,                0.91347,                 1.1259,                    1.1,                0.78156,                    0.6,                0.81686,                0.58588,                  1.284,                  1.871,                 1.2583,             0.00067917,             0.00067917,             0.00067917
                     39,                 1.0064,                 1.1049,                 1.1132,                0.76958,                0.61801,                0.84556,                0.65288,                 1.2047,                 1.6881,                 1.2301,             0.00068639,             0.00068639,             0.00068639
                     40,                0.92637,                 1.0608,                 1.0934,                0.76958,                0.61801,                0.84556,                0.65288,                 1.2047,                 1.6881,                 1.2301,             0.00069304,             0.00069304,             0.00069304
                     41,                0.91617,                 1.0118,                 1.0394,                0.72913,                    0.6,                0.84075,                 0.6339,                 1.1439,                 1.7201,                 1.2001,             0.00069912,             0.00069912,             0.00069912
                     42,                 1.0111,                 1.0487,                 1.0813,                 0.7651,                0.65994,                0.86694,                0.58608,                 1.2233,                 1.6191,                  1.199,             0.00070464,             0.00070464,             0.00070464
                     43,                0.90837,                 1.0104,                 1.0651,                 0.7651,                0.65994,                0.86694,                0.58608,                 1.2233,                 1.6191,                  1.199,              0.0007096,              0.0007096,              0.0007096
                     44,                 0.9818,                 1.0771,                 1.1216,                0.89627,                0.65381,                0.87381,                0.66676,                 1.1764,                  1.522,                 1.1883,             0.00071399,             0.00071399,             0.00071399
