                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0645,                 3.5132,                 1.5026,                0.61958,                0.87758,                0.88795,                0.61207,                 1.3934,                 1.2873,                  1.252,                      0,                      0,                      0
                      2,                 1.1322,                  2.785,                  1.441,                0.59813,                0.89589,                0.88788,                0.62331,                  1.425,                 1.3029,                 1.2612,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.0195,                 2.1236,                  1.266,                0.57005,                0.83333,                0.87428,                0.62091,                 1.4244,                 1.3305,                 1.2616,              8.092e-07,              8.092e-07,              8.092e-07
